topics,Arun2010
600,71543.23518176435
550,71036.00111311227
500,70649.47263163418
450,70384.54618354027
400,69966.38380064159
350,69478.94807268474
300,69425.93660807343
275,69521.6796880981
250,70103.168409918
225,70672.75551497996
200,71872.5182740695
175,73037.95812052093
150,74564.63103937269
125,76564.61599310758
100,79223.46592693319
90,80703.41641088293
80,82139.62401913689
70,84063.69638655343
60,86081.72234410794
50,88568.53930734476
40,91984.92782978716
30,96076.59531797274
20,102546.81442482355
10,112810.12702417346
